Text,Class,Sign,ASD,char_len,word_len,sent_len,polarity,subjectivity,exclaimation_num,questionmark_num,url_num,hash_num,mention_num,contraction_num
despite these challenges my toddler might develop alternative ways of learning focusing on direct verbal or visual instructions,Follow Pointing+,+,Non-ASD,130,21,3,0.05,0.2,0,0,0,0,0,0
difficulty in diverting attention from specific interests may hinder their adaptability and willingness to try new things,Focused Attention+,+,Non-ASD,122,18,1,0.06818181818181818,0.2897727272727273,0,0,0,0,0,0
difficulty in following pointing gestures may lead to missing important social cues affecting their interactions and causing feelings of exclusion,Follow Pointing+,-,ASD,148,22,2,0.058333333333333334,0.30416666666666664,0,0,0,0,0,0
difficulty in following pointing might limit their participation in group activities or games affecting their social inclusion and interactions,Follow Pointing+,-,ASD,145,21,2,0.016666666666666666,0.08333333333333334,0,0,0,0,0,0
difficulty in following pointing might limit their participation in group activities or games impacting their social inclusion,Follow Pointing+,-,ASD,128,19,2,0.016666666666666666,0.08333333333333334,0,0,0,0,0,0
difficulty in shifting attention from their focused interests may result in challenges when transitioning between activities or routines,Focused Attention+,+,Non-ASD,137,19,1,0.0,0.0,0,0,0,0,0,0
difficulty in transitioning attention from specific interests may limit their adaptability and willingness to explore new things,Focused Attention+,+,Non-ASD,129,18,1,0.06818181818181818,0.2897727272727273,0,0,0,0,0,0
each successful adjustment is progress reinforcing positive behaviors and coping mechanisms which is something to celebrate,Change Reaction-,+,Non-ASD,126,19,3,0.48863636363636365,0.7477272727272727,0,0,0,0,0,0
each successful adjustment to change is a milestone and celebrating these moments helps reinforce positive behaviors and coping mechanisms,Change Reaction-,+,Non-ASD,140,21,2,0.48863636363636365,0.7477272727272727,0,0,0,0,0,0
each successful adjustment to change is a win reinforcing positive behaviors and coping mechanisms which is something to celebrate,Change Reaction-,+,Non-ASD,133,22,3,0.5924242424242424,0.6318181818181818,0,0,0,0,0,0
each successful adjustment to change is a win reinforcing positive behaviors and coping mechanisms which is something to celebrate,Change Reaction-,+,Non-ASD,133,22,3,0.5924242424242424,0.6318181818181818,0,0,0,0,0,0
each successful adjustment to change is progress reinforcing positive behaviors and coping mechanisms which is something to acknowledge and celebrate,Change Reaction-,+,Non-ASD,152,23,3,0.48863636363636365,0.7477272727272727,0,0,0,0,0,0
each successful adjustment to change is progress reinforcing positive behaviors and coping mechanisms which is something to acknowledge and celebrate,Change Reaction-,+,Non-ASD,152,23,3,0.48863636363636365,0.7477272727272727,0,0,0,0,0,0
encouraging other forms of communication or cues such as using visual aids or verbal prompts can aid in their understanding,Follow Pointing+,+,Non-ASD,126,23,3,-0.041666666666666664,0.2916666666666667,0,0,0,0,0,0
encouraging the use of different communication methods like using visual cues or verbal prompts might aid in their understanding,Follow Pointing+,+,Non-ASD,131,22,3,0.0,0.3,0,0,0,0,0,0
explaining their reluctance to share interests can be tough others might misinterpret it as disinterest or rudeness,Sharing Interest+,-,ASD,117,19,2,-0.3888888888888889,0.8333333333333334,0,0,0,0,0,0
explaining tiptoe flapping to others can be difficult some people might misinterpret it leading to misconceptions or judgment about my toddler,Tiptoe Flapping-,-,ASD,145,24,2,-0.5,1.0,0,0,0,0,0,0
facing changes may eventually help my toddler become more adaptable and resilient developing skills to manage unexpected situations,Change Reaction-,+,Non-ASD,133,20,2,0.3,0.75,0,0,0,0,0,0
finding inclusive spaces that embrace and accommodate sign language might be a challenge limiting my toddler is access to certain activities or communities,Sign Communication+,-,ASD,156,25,1,0.21428571428571427,0.5714285714285714,0,0,0,0,0,1
finger movements could be a form of creative expression allowing them to express themselves uniquely and explore their imagination,Finger Movements-,+,Non-ASD,132,21,2,0.4375,1.0,0,0,0,0,0,0
finger movements could be a form of creative expression allowing them to showcase their unique abilities and creativity,Finger Movements-,+,Non-ASD,121,20,2,0.4375,1.0,0,0,0,0,0,0
finger movements might be a form of creative expression allowing them to explore their imagination and artistic abilities,Finger Movements-,+,Non-ASD,123,20,2,0.41666666666666663,1.0,0,0,0,0,0,0
finger movements might serve as a calming or self regulating mechanism for my toddler helping them manage stress or anxiety,Finger Movements-,+,Non-ASD,125,21,2,0.0,0.0,0,0,0,0,0,0
for my toddler avoiding eye contact might be a way to feel more comfortable and focused during conversations or activities,Eye Contact+,-,ASD,124,22,2,0.45,0.65,0,0,0,0,0,0
gradual exposure and preparation before changes help my toddler adapt better making transitions smoother,Change Reaction-,+,Non-ASD,106,16,2,0.5,0.5,0,0,0,0,0,0
gradual exposure and prepping beforehand help my toddler adapt better to new situations easing transitions,Change Reaction-,+,Non-ASD,108,17,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0
gradual exposure to change and prepping them before hand helps my toddler adapt better to new situations making transitions smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0
gradual exposure to change and prepping them before hand helps my toddler adapt better to new situations making transitions smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0
gradual exposure to change and prepping them before hand helps my toddler adapt better to new situations making transitions smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0
handling changes can eventually foster adaptability and resilience in my toddler aiding them in managing unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0
handling changes can eventually foster adaptability and resilience in my toddler aiding them in managing unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0
handling changes can eventually foster adaptability and resilience in my toddler aiding them in managing unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0
handling changes gradually develops adaptability and resilience in my toddler aiding them in managing unexpected situations,Change Reaction-,+,Non-ASD,125,18,2,0.1,1.0,0,0,0,0,0,0
handling changes gradually helps develop adaptability and resilience in my toddler assisting them in managing unexpected situations better,Change Reaction-,+,Non-ASD,140,20,2,0.3,0.75,0,0,0,0,0,0
i fear that their reliance on repeated words might create barriers in social settings other kids might find it hard to connector communicate effectively,Word Repetition-,-,ASD,155,27,2,0.054166666666666655,0.4458333333333333,0,0,0,0,0,0
i fear that this repetition might interfere with their ability to grasp new concepts or engage effectively in learning environments,Word Repetition-,-,ASD,132,21,1,0.36818181818181817,0.6272727272727273,0,0,0,0,0,0
if earth is repetition might hinder their learning in school affecting their understanding of different subjects and participation in class,Word Repetition-,-,ASD,141,22,2,0.0,0.6,0,0,0,0,0,0
i notice my toddler struggles to stay focused especially in noisy or crowded environments it is challenging for them to concentrate when there is too much going on,Attention Respanse+,-,ASD,164,31,3,0.2333333333333333,0.7333333333333334,0,0,0,0,0,2
i worry about how my toddler is sensitivity to noise might overwhelm them loud or sudden noises can cause distress leading to anxiety or meltdowns,Noise Sensitivity-,-,ASD,148,28,2,0.05,0.65,0,0,0,0,0,1
i worry about how my toddler is sensitivity to noise might overwhelm them loud or sudden noises can lead to distress causing anxiety or meltdowns,Noise Sensitivity-,-,ASD,147,28,2,0.05,0.65,0,0,0,0,0,1
i worry about how my toddler is sensitivity to noise might overwhelm them loud or sudden noises can trigger anxiety leading to stress or meltdowns,Noise Sensitivity-,-,ASD,148,28,2,0.05,0.65,0,0,0,0,0,1
i worry about my toddler is difficulty in following pointing gestures it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,155,24,2,0.3,0.45,0,0,0,0,0,1
i worry about my toddler is difficulty in following pointing gestures it might hinder their ability to understand instructions and interact with others effectively,Follow Pointing+,-,ASD,164,26,2,0.3,0.45,0,0,0,0,0,1
i worry about my toddler is difficulty in following pointing gestures it might hinder their ability to understand instructions or engage in effective communication,Follow Pointing+,-,ASD,164,26,2,0.3,0.45,0,0,0,0,0,1
i worry about my toddler is fixation on arranging toys it seems they spend more time organizing than actually playing which might limit their play experiences,Toy Arranging-,-,ASD,160,29,3,0.25,0.3,0,0,0,0,0,1
i worry about my toddler is intense focus on specific topics it might limit their ability to explore various interests and engage in activities outside their focused area,Focused Attention+,+,Non-ASD,171,30,2,0.05,0.41875,0,0,0,0,0,1
i worry about my toddler is reaction to sudden change sit often leads to heightened stress and anxiety making it hard for them to handle unforeseen situations,Change Reaction-,-,ASD,160,30,3,-0.14583333333333334,0.5208333333333333,0,0,0,0,0,1
i worry about my toddler is tiptoe flapping it could lead to accidents especially if they are not aware of their surroundings while doing so,Tiptoe Flapping-,-,ASD,141,28,2,-0.0625,0.625,0,0,0,0,0,2
i worry about not knowing how my toddler might react to change as it could sometimes result in difficult or challenging behaviors,Change Reaction-,-,ASD,131,24,2,0.0,1.0,0,0,0,0,0,0
i worry about the accessibility of information for my toddler if it is not available in sign language it could hinder their learning and understanding,Sign Communication+,-,ASD,151,27,2,-0.2,0.4,0,0,0,0,0,1
i worry that my toddler is constant repetition of words might limit their ability to develop a wider vocabulary and hinder effective communication,Word Repetition-,-,ASD,146,24,1,0.3,0.5666666666666667,0,0,0,0,0,1
i worry that my toddler is difficulty in displaying emotional empathy might be misinterpreted by others as a lack of care or concern,Emotional Empathy+,-,ASD,132,24,1,0.0,0.65,0,0,0,0,0,1
i worry that my toddler is difficulty in expressing emotional empathy might lead others to misinterpret their intentions or feelings,Emotional Empathy+,-,ASD,132,21,1,0.0,0.65,0,0,0,0,0,1
i worry that my toddler is difficulty in expressing emotional empathy might lead others to perceive them as uncaring or in different,Emotional Empathy+,-,ASD,131,22,1,0.0,0.65,0,0,0,0,0,1
i worry that my toddler is difficulty in making eye contact might be misinterpreted by others as disinterest or rudeness leading to misunderstandings,Eye Contact+,+,Non-ASD,150,25,2,0.0,0.0,0,0,0,0,0,1
i worry that my toddler is focus on arranging toys limits their actual playtime it seems they are more invested in organizing than engaging in imaginative play,Toy Arranging-,-,ASD,159,29,2,0.375,0.49999999999999994,0,0,0,0,0,2
i worry that others might misunderstand my toddler is lack of eye contact as rudeness or disinterest,Eye Contact+,+,Non-ASD,100,18,1,0.0,0.0,0,0,0,0,0,1
i worry that relying solely on sign communication might limit my toddler is social interactions not everyone understands or accepts sign language potentially leading to misunderstandings or isolation,Sharing Interest+,-,ASD,201,31,2,0.016666666666666666,0.5333333333333333,0,0,0,0,0,1
i worry that relying solely on sign communication might limit my toddler is social interactions not everyone understands or accepts sign language potentially leading to misunderstandings or isolation,Sign Communication+,-,ASD,201,31,2,0.016666666666666666,0.5333333333333333,0,0,0,0,0,1
i am concerned about how easily our toddler gets distracted in school they struggle to stay focused especially when there is a lot of noise or activity around it is affecting their ability to keep up with the class,Attention Respanse+,-,ASD,216,44,5,0.21666666666666667,0.9166666666666667,0,0,0,0,0,3
i am concerned about how my toddler reacts to change sudden transitions or unexpected alterations in routines can be extremely distressing for them,Change Reaction-,-,ASD,148,25,2,-0.008333333333333331,0.8333333333333334,0,0,0,0,0,1
i am concerned about how my toddler reacts to sudden change sit often leads to heightened anxiety and distress making it tough for them to handle unforeseen situations,Change Reaction-,-,ASD,169,31,3,-0.19444444444444445,0.6666666666666667,0,0,0,0,0,1
i am concerned about how my toddler is noise sensitivity might overwhelm them in certain environments loud noise scan trigger anxiety leading to distress or meltdowns,Noise Sensitivity-,-,ASD,167,29,2,0.15714285714285714,0.6857142857142857,0,0,0,0,0,2
i am concerned about how my toddler is sensitivity to noise might overwhelm them loud or sudden noises can cause stress leading to anxiety or sensory overload,Noise Sensitivity-,-,ASD,159,30,2,0.05,0.65,0,0,0,0,0,2
i am concerned about how repetitive behaviors might affect my toddler is social interactions peers might find it challenging to understand and engage with my toddler,Repetitive Behavior-,-,ASD,165,28,2,0.09444444444444444,0.4388888888888889,0,0,0,0,0,2
i am concerned about my toddler becoming overly reliant on sign language potentially hindering their motivation to explore other communication methods,Sharing Interest+,-,ASD,151,23,1,0.10833333333333334,0.7416666666666667,0,0,0,0,0,1
i am concerned about my toddler becoming overly reliant on sign language potentially hindering their motivation to explore other communication methods,Sign Communication+,-,ASD,151,23,1,0.10833333333333334,0.7416666666666667,0,0,0,0,0,1
i am concerned about my toddler is difficulty in following pointing gestures it might hinder their ability to understand and respond appropriately during communication,Follow Pointing+,-,ASD,167,26,2,0.25,0.3,0,0,0,0,0,2
i am concerned about my toddler is difficulty in following pointing gestures it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,161,25,2,0.3,0.45,0,0,0,0,0,2
i am concerned about my toddler is intense focus on specific interests it might lead to difficulties in shifting attention or engaging in other activities,Focused Attention+,+,Non-ASD,154,27,2,0.11875000000000002,0.55,0,0,0,0,0,2
i am concerned about my toddler is intense focus on specific topics it might limit their willingness to explore other subjects or activities leading to a lack of diversity in their experiences,Focused Attention+,+,Non-ASD,193,35,3,0.025000000000000005,0.5,0,0,0,0,0,2
i am concerned about my toddler is intense focus on specific topics it might limit their willingness to explore other subjects or activities potentially hindering their overall development,Focused Attention+,+,Non-ASD,189,31,3,0.015000000000000003,0.5,0,0,0,0,0,2
i am concerned about my toddler is response to sudden change sit often leads to heightened anxiety and stress making it challenging for them to handle unpredictable situations,Change Reaction-,-,ASD,176,31,3,0.11111111111111112,0.8333333333333334,0,0,0,0,0,2
i am concerned about my toddler is struggle in following pointing gestures it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,159,25,2,0.3,0.45,0,0,0,0,0,2
i am concerned about my toddler is struggle to share their interests it might make it challenging for them to connect with peers who do not share similar passions,Sharing Interest+,-,ASD,161,31,2,0.25,0.7,0,0,0,0,0,3
i am concerned about my toddler is struggle with sudden change sit often leads to heightened anxiety making it challenging for them to cope with unexpected situations,Change Reaction-,-,ASD,167,30,3,0.19999999999999998,0.8333333333333334,0,0,0,0,0,2
i am concerned about our toddler is repetitive behaviors it feels like they are stuck in these patterns and it is hard for them to engage in different activities or adapt to changes,Repetitive Behavior-,-,ASD,180,36,3,-0.18055555555555558,0.46388888888888885,0,0,0,0,0,4
i am concerned about our toddler is repetitive behaviors it is challenging because they seem to get stuck in these patterns and it is affecting their ability to engage in different activities,Repetitive Behavior-,-,ASD,190,35,3,0.08333333333333333,0.6166666666666667,0,0,0,0,0,4
i am concerned about our toddler is repetitive behaviors they keep doing the same actions over and over and it is interfering with their ability to engage in other activities i worry about how this might affect their social interactions,Repetitive Behavior-,-,ASD,237,44,4,-0.08541666666666667,0.20416666666666666,0,0,0,0,0,3
i am concerned that my toddler is fixation on arranging toys limits their actual playtime it seems they are more focused on organizing than engaging in imaginative play,Toy Arranging-,-,ASD,167,30,2,0.375,0.49999999999999994,0,0,0,0,0,3
i am concerned that their reliance on repeated words might isolate them socially peers might struggle to understand or engage with their communication style,Word Repetition-,-,ASD,157,26,2,0.03333333333333333,0.06666666666666667,0,0,0,0,0,1
i am concerned that their word repetition might lead to social isolation or being misunderstood by peers who might not understand their communication style,Word Repetition-,-,ASD,155,25,1,0.03333333333333333,0.06666666666666667,0,0,0,0,0,1
i am concerned that this repetition might interfere with their learning abilities especially in school it might affect their comprehension and engagement with different subjects,Word Repetition-,-,ASD,179,28,3,0.0,0.8,0,0,0,0,0,1
i am worried about how easily our toddler loses focus they struggle to pay attention especially in noisy environments it affects their learning at school and they often miss important details,Attention Respanse+,-,ASD,195,36,5,0.13333333333333336,0.7333333333333334,0,0,0,0,0,1
i am worried about how sudden changes affect my toddler it often leads to increased stress and anxiety making it hard for them to adapt,Change Reaction-,-,ASD,137,28,3,-0.14583333333333334,0.5208333333333333,0,0,0,0,0,1
i am worried about my toddler is constant word repetition it feels like they are not progressing just stuck in a loop i have read it might hinder their communication development what if they can not express themselves properly,Word Repetition-,-,ASD,224,44,5,0.0,0.21666666666666667,0,1,0,0,0,5
i am worried about my toddler is intense focus on specific topics it might hinder their ability to shift attention or engage in activities beyond their interests,Focused Attention+,+,Non-ASD,161,29,2,0.1,0.5625,0,0,0,0,0,2
i am worried about our toddler is repetitive behaviors it seems like they get stuck in these routines and it is affecting their ability to try new things or interact with others,Repetitive Behavior-,-,ASD,177,35,3,-0.05681818181818182,0.3522727272727273,0,0,0,0,0,3
i am worried about our toddler is repetitive behaviors they keep doing the same things repeatedly and it is difficult to redirect their attention i am concerned it might affect their ability to adapt to new situations,Repetitive Behavior-,-,ASD,217,41,4,-0.1534090909090909,0.45738636363636365,0,0,0,0,0,4
i am worried that my toddler is constant repetition of words might hinder their ability to develop a diverse and functional vocabulary,Word Repetition-,-,ASD,133,23,1,0.0,0.3333333333333333,0,0,0,0,0,2
i am worried that my toddler is constant repetition of words might impede their progress in developing broader language and communication skills,Word Repetition-,-,ASD,143,23,1,0.0,0.3333333333333333,0,0,0,0,0,2
i have come to realize that word repetition is a unique way my toddler communicates it is their way of expressing feelings or needs,Word Repetition-,+,Non-ASD,130,26,2,0.375,1.0,0,0,0,0,0,2
i have noticed my toddler is word repetition but i have also seen how it helps them learn and communicate they use it to express themselves in their unique way and it is fascinating to see how they associate certain words with different situations,Word Repetition-,+,Non-ASD,245,48,4,0.32232142857142854,0.755357142857143,0,0,0,0,0,4
i have noticed our toddler engages in repetitive behaviors when they are exploring something they love it is like they are fine tuning their focus and attention to detail it is fascinating to see their dedication and how much they enjoy it,Repetitive Behavior-,+,Non-ASD,236,44,3,0.30999999999999994,0.4800000000000001,0,0,0,0,0,5
i have noticed our toddler finds comfort in certain repetitive behaviors it seems to calm them down when they are anxious or overwhelmed it is like their way of self soothing,Repetitive Behavior-,+,Non-ASD,173,33,3,-0.028253968253968247,0.572063492063492,0,0,0,0,0,3
i have noticed our toddler is repetitive behaviors often accompany their intense focus and passion for specific topics or activities it is incredible to see how dedicated they are when pursuing something they are interested in,Repetitive Behavior-,+,Non-ASD,223,38,2,0.22000000000000003,0.5549999999999999,0,0,0,0,0,4
i have noticed our toddler is repetitive behaviors often align with their deep interest in specific subjects it is amazing how focused and detail oriented they become when engaging in these activities,Repetitive Behavior-,+,Non-ASD,198,33,2,0.15000000000000002,0.475,0,0,0,0,0,3
i have noticed that my toddler is interest in arranging toys showcases impressive organizational skills it is amazing to see how they categorize and arrange items,Toy Arranging-,+,Non-ASD,160,28,2,0.8,0.95,0,0,0,0,0,3
i have noticed that tiptoe flapping seems to be a way for my toddler to self regulate it appears to help them manage stress or excitement,Tiptoe Flapping-,+,Non-ASD,137,27,2,0.0,0.0,0,0,0,0,0,1
i have noticed that word repetition is a significant part of how my toddler communicates it is their way of expressing thoughts and feelings,Word Repetition-,+,Non-ASD,139,26,2,0.375,0.875,0,0,0,0,0,2
i have noticed that word repetition is my toddler is way of communicating and expressing themselves it is a part of their unique language,Word Repetition-,+,Non-ASD,135,26,2,0.375,1.0,0,0,0,0,0,3
in environments that embrace sign language it can facilitate social connections with others who understand and use it fostering a sense of belonging,Sign Communication+,+,Non-ASD,151,26,1,0.03333333333333333,0.06666666666666667,0,0,0,0,0,0
in environments where sign language is not recognized or understood my toddler might struggle to express themselves or comprehend others leading to frustration and isolation,Sharing Interest+,-,ASD,175,28,1,0.0,0.0,0,0,0,0,0,1
in noisy environments my toddler might find it challenging to concentrate or communicate effectively impacting their participation in conversations or activities,Noise Sensitivity-,-,ASD,164,24,1,0.55,0.9,0,0,0,0,0,0
in noisy environments my toddler might find it difficult to concentrate or communicate effectively hindering their ability to participate in conversations or activities,Noise Sensitivity-,-,ASD,171,26,1,0.04999999999999999,0.9,0,0,0,0,0,0
in noisy environments my toddler might find it hard to focus or communicate effectively hindering their ability to participate in conversations or activities,Noise Sensitivity-,-,ASD,160,26,1,0.15416666666666665,0.6708333333333334,0,0,0,0,0,0
in noisy environments my toddler might struggle to concentrate or communicate effectively hindering their ability to engage in conversations or activities,Noise Sensitivity-,-,ASD,157,24,1,0.6,0.8,0,0,0,0,0,0
in noisy environments my toddler might struggle to concentrate or communicate effectively impacting their ability to engage in conversations or activities,Noise Sensitivity-,-,ASD,157,24,1,0.6,0.8,0,0,0,0,0,0
in noisy settings my toddler might struggle to focus or communicate effectively leading to difficulties in understanding conversations or expressing themselves,Noise Sensitivity-,-,ASD,162,24,1,0.6,0.8,0,0,0,0,0,0
in situations where sign language is not recognized my toddler might struggle to express themselves or understand others creating frustration or communication breakdowns,Sharing Interest+,-,ASD,171,26,1,0.0,0.0,0,0,0,0,0,1
in situations where sign language is not recognized my toddler might struggle to express themselves or understand others creating frustration or communication breakdowns,Sign Communication+,-,ASD,171,26,1,0.0,0.0,0,0,0,0,0,1
it can be difficult to explain to others why my toddler is fixated on arranging toys some people might not understand this behavior leading to judgment or misunderstanding,Toy Arranging-,-,ASD,174,31,3,-0.5,1.0,0,0,0,0,0,0
it could act as a nonverbal way for my toddler to communicate their emotions or needs when verbalizing is challenging,Finger Movements-,+,Non-ASD,119,21,1,0.5,1.0,0,0,0,0,0,0
it could potentially serve as a nonverbal way of communication helping them convey emotions or needs when verbalizing is challenging,Finger Movements-,+,Non-ASD,135,22,2,0.25,1.0,0,0,0,0,0,0
it feels like my toddler gets stuck repeating certain words hindering their overall communication development i am concerned about their growth,Word Repetition-,-,ASD,145,24,3,0.10714285714285714,0.2857142857142857,0,0,0,0,0,1
it feels like my toddler is stuck in a loop repeating the same words without advancing i am concerned about their overall language development,Word Repetition-,-,ASD,144,27,3,0.0,0.0625,0,0,0,0,0,1
it feels like my toddler is trapped in a cycle repeating the same words without progression i fear it might impede their language development,Word Repetition-,-,ASD,144,27,3,-0.1,0.0625,0,0,0,0,0,0
it feels like my toddler is not making progress they keep echoing the same words without advancing or learning new ones,Word Repetition-,-,ASD,119,22,1,0.06818181818181818,0.2897727272727273,0,0,0,0,0,1
it feels like my toddler is not moving forward they are stuck in a loop of repeating the same words without expanding their vocabulary,Word Repetition-,-,ASD,133,25,1,0.0,0.125,0,0,0,0,0,2
it might act as a way for my toddler to communicate their feelings or needs when verbal communication is challenging,Finger Movements-,+,Non-ASD,117,21,1,0.5,1.0,0,0,0,0,0,0
it might serve as a way for my toddler to communicate emotions or needs non verbally aiding in expression,Finger Movements-,+,Non-ASD,107,20,2,0.0,0.0,0,0,0,0,0,0
it might serve as a way for my toddler to communicate their feelings or needs when verbal communication is challenging,Finger Movements-,+,Non-ASD,119,21,1,0.5,1.0,0,0,0,0,0,0
it is a reminder that my toddler has their unique way of interacting with the world tiptoe flapping is a part of who they are and what makes them comfortable,Tiptoe Flapping-,+,Non-ASD,158,32,2,0.3875,0.9,0,0,0,0,0,1
