Text,Class,Sign,ASD,char_len,word_len,sent_len,polarity,subjectivity,exclaimation_num,questionmark_num,url_num,hash_num,mention_num,contraction_num,text_nostopwords
change can disrupt our establish routines cause meltdowns or increase stress level for my toddler make it difficult to manage day today activities,Change Reaction-,-,ASD,159,25,3,-0.5,1.0,0,0,0,0,0,0,change disrupt establish routines cause meltdowns increase stress level toddler make difficult manage day today activities
change can disrupt our establish routines lead to meltdowns or increase stress level for my toddler make it difficult to manage day today activities,Change Reaction-,-,ASD,162,26,3,-0.5,1.0,0,0,0,0,0,0,change disrupt establish routines lead meltdowns increase stress level toddler make difficult manage day today activities
change disrupt our establish routines cause meltdowns or heighten stress level make it tough to manage day today activities,Change Reaction-,-,ASD,137,21,3,-0.3888888888888889,0.8333333333333334,0,0,0,0,0,0,change disrupt establish routines cause meltdowns heighten stress level make tough manage day today activities
change disrupt our routines cause distress or meltdowns make it hard for my toddler to manage daily activities,Change Reaction-,-,ASD,118,21,3,-0.1458333333333333,0.2708333333333333,0,0,0,0,0,0,change disrupt routines cause distress meltdowns make hard toddler manage daily activities
continuous tiptoe might affect their foot health or posture overtime i be concern about the long term impact on their physical well be,Tiptoe Flapping-,-,ASD,144,24,2,0.0,0.1428571428571428,0,0,0,0,0,1,continuous tiptoe affect foot health posture overtime concern long term impact physical
despite challenge in express emotions my toddler may deeply understand others feelings even if it be not outwardly visible,Emotional Empathy+,+,Non-ASD,129,23,3,0.0,0.4,0,0,0,0,0,1,despite challenge express emotions toddler deeply understand feelings outwardly visible
despite challenge in expression my toddler might deeply understand emotions show empathy in unique less visible ways,Emotional Empathy+,+,Non-ASD,124,21,4,0.0694444444444444,0.4888888888888889,0,0,0,0,0,0,despite challenge expression toddler deeply understand emotions empathy unique visible ways
despite challenge in show emotions my toddler may have a profound understand of others feelings even if they struggle to express it,Emotional Empathy+,+,Non-ASD,142,26,3,0.0833333333333333,1.0,0,0,0,0,0,0,despite challenge emotions toddler profound understand feelings struggle express
despite challenge my toddler can still form meaningful emotional connections with others showcasing empathy in their own distinct manner,Emotional Empathy+,+,Non-ASD,140,22,3,0.35,0.6124999999999999,0,0,0,0,0,0,despite challenge toddler form meaningful emotional connections showcasing empathy distinct manner
despite challenge my toddler might find alternative learn methods such as direct verbal communication or visual aid to understand instructions,Follow Pointing+,+,Non-ASD,151,24,4,0.0333333333333333,0.3,0,0,0,0,0,0,despite challenge toddler alternative learn methods direct verbal communication visual aid understand instructions
despite challenge my toddler might form strong emotional bond with others express empathy through their distinct methods,Emotional Empathy+,+,Non-ASD,128,20,3,0.2444444444444444,0.5611111111111111,0,0,0,0,0,0,despite challenge toddler form strong emotional bond express empathy distinct methods
despite difficulties in express emotions outwardly my toddler might deeply understand and resonate with others feelings,Emotional Empathy+,+,Non-ASD,125,19,2,0.0,0.4,0,0,0,0,0,0,despite difficulties express emotions outwardly toddler deeply understand resonate feelings
despite difficulties my toddler can form strong emotional bond show empathy in their own distinctive and sincere way,Emotional Empathy+,+,Non-ASD,123,21,3,0.3833333333333333,0.7208333333333333,0,0,0,0,0,0,despite difficulties toddler form strong emotional bond empathy distinctive way
despite difficulties my toddler can form strong emotional connections show empathy uniquely and earnestly,Emotional Empathy+,+,Non-ASD,111,17,3,0.2694444444444444,0.7944444444444444,0,0,0,0,0,0,despite difficulties toddler form strong emotional connections empathy uniquely earnestly
despite hurdle my toddler can form strong emotional bond demonstrate empathy through their distinctive methods,Emotional Empathy+,+,Non-ASD,117,18,3,0.2166666666666666,0.6916666666666667,0,0,0,0,0,0,despite hurdle toddler form strong emotional bond demonstrate empathy distinctive methods
despite these challenge my toddler might develop alternative methods of learn focus on direct verbal instructions or other visual aid,Follow Pointing+,+,Non-ASD,144,23,3,-0.0083333333333333,0.2583333333333333,0,0,0,0,0,0,despite challenge toddler develop alternative methods learn focus direct verbal instructions visual aid
despite these challenge my toddler might develop alternative ways of learn focus on direct verbal or visual instructions,Follow Pointing+,+,Non-ASD,130,21,3,0.05,0.2,0,0,0,0,0,0,despite challenge toddler develop alternative ways learn focus direct verbal visual instructions
difficulty in divert attention from specific interest may hinder their adaptability and willingness to try new things,Focused Attention+,+,Non-ASD,122,18,1,0.0681818181818181,0.2897727272727273,0,0,0,0,0,0,difficulty divert attention specific hinder adaptability willingness try new things
difficulty in follow point gesture may lead to miss important social cue affect their interactions and cause feelings of exclusion,Follow Pointing+,-,ASD,148,22,2,0.0583333333333333,0.3041666666666666,0,0,0,0,0,0,difficulty follow point gesture lead miss important social cue affect interactions cause feelings exclusion
difficulty in follow point might limit their participation in group activities or game affect their social inclusion and interactions,Follow Pointing+,-,ASD,145,21,2,0.0166666666666666,0.0833333333333333,0,0,0,0,0,0,difficulty follow point limit participation group activities game affect social inclusion interactions
difficulty in follow point might limit their participation in group activities or game impact their social inclusion,Follow Pointing+,-,ASD,128,19,2,0.0166666666666666,0.0833333333333333,0,0,0,0,0,0,difficulty follow point limit participation group activities game impact social inclusion
difficulty in shift attention from their focus interest may result in challenge when transition between activities or routines,Focused Attention+,+,Non-ASD,137,19,1,0.0,0.0,0,0,0,0,0,0,difficulty shift attention focus result challenge transition activities routines
difficulty in transition attention from specific interest may limit their adaptability and willingness to explore new things,Focused Attention+,+,Non-ASD,129,18,1,0.0681818181818181,0.2897727272727273,0,0,0,0,0,0,difficulty transition attention specific limit adaptability willingness explore new things
each successful adjustment be progress reinforce positive behaviors and cop mechanisms which be something to celebrate,Change Reaction-,+,Non-ASD,126,19,3,0.4886363636363636,0.7477272727272727,0,0,0,0,0,0,successful adjustment progress reinforce positive behaviors cop mechanisms celebrate
each successful adjustment to change be a milestone and celebrate these moments help reinforce positive behaviors and cop mechanisms,Change Reaction-,+,Non-ASD,140,21,2,0.4886363636363636,0.7477272727272727,0,0,0,0,0,0,successful adjustment change milestone celebrate moments help reinforce positive behaviors cop mechanisms
each successful adjustment to change be a win reinforce positive behaviors and cop mechanisms which be something to celebrate,Change Reaction-,+,Non-ASD,133,22,3,0.5924242424242424,0.6318181818181818,0,0,0,0,0,0,successful adjustment change win reinforce positive behaviors cop mechanisms celebrate
each successful adjustment to change be a win reinforce positive behaviors and cop mechanisms which be something to celebrate,Change Reaction-,+,Non-ASD,133,22,3,0.5924242424242424,0.6318181818181818,0,0,0,0,0,0,successful adjustment change win reinforce positive behaviors cop mechanisms celebrate
each successful adjustment to change be progress reinforce positive behaviors and cop mechanisms which be something to acknowledge and celebrate,Change Reaction-,+,Non-ASD,152,23,3,0.4886363636363636,0.7477272727272727,0,0,0,0,0,0,successful adjustment change progress reinforce positive behaviors cop mechanisms acknowledge celebrate
each successful adjustment to change be progress reinforce positive behaviors and cop mechanisms which be something to acknowledge and celebrate,Change Reaction-,+,Non-ASD,152,23,3,0.4886363636363636,0.7477272727272727,0,0,0,0,0,0,successful adjustment change progress reinforce positive behaviors cop mechanisms acknowledge celebrate
encourage other form of communication or cue such as use visual aid or verbal prompt can aid in their understand,Follow Pointing+,+,Non-ASD,126,23,3,-0.0416666666666666,0.2916666666666667,0,0,0,0,0,0,encourage form communication cue use visual aid verbal prompt aid understand
encourage the use of different communication methods like use visual cue or verbal prompt might aid in their understand,Follow Pointing+,+,Non-ASD,131,22,3,0.0,0.3,0,0,0,0,0,0,encourage use different communication methods like use visual cue verbal prompt aid understand
explain their reluctance to share interest can be tough others might misinterpret it as disinterest or rudeness,Sharing Interest+,-,ASD,117,19,2,-0.3888888888888889,0.8333333333333334,0,0,0,0,0,0,explain reluctance share tough misinterpret disinterest rudeness
explain tiptoe flap to others can be difficult some people might misinterpret it lead to misconceptions or judgment about my toddler,Tiptoe Flapping-,-,ASD,145,24,2,-0.5,1.0,0,0,0,0,0,0,explain tiptoe flap difficult people misinterpret lead misconceptions judgment toddler
face change may eventually help my toddler become more adaptable and resilient develop skills to manage unexpected situations,Change Reaction-,+,Non-ASD,133,20,2,0.3,0.75,0,0,0,0,0,0,face change eventually help toddler adaptable resilient develop skills manage unexpected situations
find inclusive space that embrace and accommodate sign language might be a challenge limit my toddler be access to certain activities or communities,Sign Communication+,-,ASD,156,25,1,0.2142857142857142,0.5714285714285714,0,0,0,0,0,1,inclusive space embrace accommodate sign language challenge limit toddler access certain activities communities
finger movements could be a form of creative expression allow them to express themselves uniquely and explore their imagination,Finger Movements-,+,Non-ASD,132,21,2,0.4375,1.0,0,0,0,0,0,0,finger movements form creative expression allow express uniquely explore imagination
finger movements could be a form of creative expression allow them to showcase their unique abilities and creativity,Finger Movements-,+,Non-ASD,121,20,2,0.4375,1.0,0,0,0,0,0,0,finger movements form creative expression allow showcase unique abilities creativity
finger movements might be a form of creative expression allow them to explore their imagination and artistic abilities,Finger Movements-,+,Non-ASD,123,20,2,0.4166666666666666,1.0,0,0,0,0,0,0,finger movements form creative expression allow explore imagination artistic abilities
finger movements might serve as a calm or self regulate mechanism for my toddler help them manage stress or anxiety,Finger Movements-,+,Non-ASD,125,21,2,0.0,0.0,0,0,0,0,0,0,finger movements serve calm self regulate mechanism toddler help manage stress anxiety
for my toddler avoid eye contact might be a way to feel more comfortable and focus during conversations or activities,Eye Contact+,-,ASD,124,22,2,0.45,0.65,0,0,0,0,0,0,toddler avoid eye contact way feel comfortable focus conversations activities
gradual exposure and preparation before change help my toddler adapt better make transition smoother,Change Reaction-,+,Non-ASD,106,16,2,0.5,0.5,0,0,0,0,0,0,gradual exposure preparation change help toddler adapt better make transition smoother
gradual exposure and prepping beforehand help my toddler adapt better to new situations ease transition,Change Reaction-,+,Non-ASD,108,17,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0,gradual exposure prepping help toddler adapt better new situations ease transition
gradual exposure to change and prepping them before hand help my toddler adapt better to new situations make transition smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0,gradual exposure change prepping hand help toddler adapt better new situations make transition smoother
gradual exposure to change and prepping them before hand help my toddler adapt better to new situations make transition smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0,gradual exposure change prepping hand help toddler adapt better new situations make transition smoother
gradual exposure to change and prepping them before hand help my toddler adapt better to new situations make transition smoother,Change Reaction-,+,Non-ASD,133,21,2,0.3181818181818182,0.4772727272727273,0,0,0,0,0,0,gradual exposure change prepping hand help toddler adapt better new situations make transition smoother
handle change can eventually foster adaptability and resilience in my toddler aid them in manage unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0,handle change eventually foster adaptability resilience toddler aid manage unexpected situations better
handle change can eventually foster adaptability and resilience in my toddler aid them in manage unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0,handle change eventually foster adaptability resilience toddler aid manage unexpected situations better
handle change can eventually foster adaptability and resilience in my toddler aid them in manage unexpected situations better,Change Reaction-,+,Non-ASD,135,20,2,0.3,0.75,0,0,0,0,0,0,handle change eventually foster adaptability resilience toddler aid manage unexpected situations better
handle change gradually develop adaptability and resilience in my toddler aid them in manage unexpected situations,Change Reaction-,+,Non-ASD,125,18,2,0.1,1.0,0,0,0,0,0,0,handle change gradually develop adaptability resilience toddler aid manage unexpected situations
handle change gradually help develop adaptability and resilience in my toddler assist them in manage unexpected situations better,Change Reaction-,+,Non-ASD,140,20,2,0.3,0.75,0,0,0,0,0,0,handle change gradually help develop adaptability resilience toddler assist manage unexpected situations better
i fear that their reliance on repeat word might create barriers in social settings other kid might find it hard to connector communicate effectively,Word Repetition-,-,ASD,155,27,2,0.0541666666666666,0.4458333333333333,0,0,0,0,0,0,fear reliance repeat word create barriers social settings kid hard connector communicate effectively
i fear that this repetition might interfere with their ability to grasp new concepts or engage effectively in learn environments,Word Repetition-,-,ASD,132,21,1,0.3681818181818181,0.6272727272727273,0,0,0,0,0,0,fear repetition interfere ability grasp new concepts engage effectively learn environments
if earth be repetition might hinder their learn in school affect their understand of different subject and participation in class,Word Repetition-,-,ASD,141,22,2,0.0,0.6,0,0,0,0,0,0,earth repetition hinder learn school affect understand different subject participation class
i notice my toddler struggle to stay focus especially in noisy or crowd environments it be challenge for them to concentrate when there be too much go on,Attention Respanse+,-,ASD,164,31,3,0.2333333333333333,0.7333333333333334,0,0,0,0,0,2,notice toddler struggle stay focus especially noisy crowd environments challenge concentrate
i worry about how my toddler be sensitivity to noise might overwhelm them loud or sudden noise can cause distress lead to anxiety or meltdowns,Noise Sensitivity-,-,ASD,148,28,2,0.05,0.65,0,0,0,0,0,1,worry toddler sensitivity noise overwhelm loud sudden noise cause distress lead anxiety meltdowns
i worry about how my toddler be sensitivity to noise might overwhelm them loud or sudden noise can lead to distress cause anxiety or meltdowns,Noise Sensitivity-,-,ASD,147,28,2,0.05,0.65,0,0,0,0,0,1,worry toddler sensitivity noise overwhelm loud sudden noise lead distress cause anxiety meltdowns
i worry about how my toddler be sensitivity to noise might overwhelm them loud or sudden noise can trigger anxiety lead to stress or meltdowns,Noise Sensitivity-,-,ASD,148,28,2,0.05,0.65,0,0,0,0,0,1,worry toddler sensitivity noise overwhelm loud sudden noise trigger anxiety lead stress meltdowns
i worry about my toddler be difficulty in follow point gesture it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,155,24,2,0.3,0.45,0,0,0,0,0,1,worry toddler difficulty follow point gesture hinder ability understand instructions communicate effectively
i worry about my toddler be difficulty in follow point gesture it might hinder their ability to understand instructions and interact with others effectively,Follow Pointing+,-,ASD,164,26,2,0.3,0.45,0,0,0,0,0,1,worry toddler difficulty follow point gesture hinder ability understand instructions interact effectively
i worry about my toddler be difficulty in follow point gesture it might hinder their ability to understand instructions or engage in effective communication,Follow Pointing+,-,ASD,164,26,2,0.3,0.45,0,0,0,0,0,1,worry toddler difficulty follow point gesture hinder ability understand instructions engage effective communication
i worry about my toddler be fixation on arrange toy it seem they spend more time organize than actually play which might limit their play experience,Toy Arranging-,-,ASD,160,29,3,0.25,0.3,0,0,0,0,0,1,worry toddler fixation arrange toy spend time organize actually play limit play experience
i worry about my toddler be intense focus on specific topics it might limit their ability to explore various interest and engage in activities outside their focus area,Focused Attention+,+,Non-ASD,171,30,2,0.05,0.41875,0,0,0,0,0,1,worry toddler intense focus specific topics limit ability explore various engage activities outside focus area
i worry about my toddler be reaction to sudden change sit often lead to heighten stress and anxiety make it hard for them to handle unforeseen situations,Change Reaction-,-,ASD,160,30,3,-0.1458333333333333,0.5208333333333333,0,0,0,0,0,1,worry toddler reaction sudden change sit lead heighten stress anxiety make hard handle unforeseen situations
i worry about my toddler be tiptoe flap it could lead to accidents especially if they be not aware of their surroundings while do so,Tiptoe Flapping-,-,ASD,141,28,2,-0.0625,0.625,0,0,0,0,0,2,worry toddler tiptoe flap lead accidents especially aware surroundings
i worry about not know how my toddler might react to change as it could sometimes result in difficult or challenge behaviors,Change Reaction-,-,ASD,131,24,2,0.0,1.0,0,0,0,0,0,0,worry know toddler react change result difficult challenge behaviors
i worry about the accessibility of information for my toddler if it be not available in sign language it could hinder their learn and understand,Sign Communication+,-,ASD,151,27,2,-0.2,0.4,0,0,0,0,0,1,worry accessibility information toddler available sign language hinder learn understand
i worry that my toddler be constant repetition of word might limit their ability to develop a wider vocabulary and hinder effective communication,Word Repetition-,-,ASD,146,24,1,0.3,0.5666666666666667,0,0,0,0,0,1,worry toddler constant repetition word limit ability develop wider vocabulary hinder effective communication
i worry that my toddler be difficulty in display emotional empathy might be misinterpret by others as a lack of care or concern,Emotional Empathy+,-,ASD,132,24,1,0.0,0.65,0,0,0,0,0,1,worry toddler difficulty display emotional empathy misinterpret lack care concern
i worry that my toddler be difficulty in express emotional empathy might lead others to misinterpret their intentions or feelings,Emotional Empathy+,-,ASD,132,21,1,0.0,0.65,0,0,0,0,0,1,worry toddler difficulty express emotional empathy lead misinterpret intentions feelings
i worry that my toddler be difficulty in express emotional empathy might lead others to perceive them as uncaring or in different,Emotional Empathy+,-,ASD,131,22,1,0.0,0.65,0,0,0,0,0,1,worry toddler difficulty express emotional empathy lead perceive uncaring different
i worry that my toddler be difficulty in make eye contact might be misinterpret by others as disinterest or rudeness lead to misunderstandings,Eye Contact+,+,Non-ASD,150,25,2,0.0,0.0,0,0,0,0,0,1,worry toddler difficulty make eye contact misinterpret disinterest rudeness lead misunderstandings
i worry that my toddler be focus on arrange toy limit their actual playtime it seem they be more invest in organize than engage in imaginative play,Toy Arranging-,-,ASD,159,29,2,0.375,0.4999999999999999,0,0,0,0,0,2,worry toddler focus arrange toy limit actual playtime invest organize engage imaginative play
i worry that others might misunderstand my toddler be lack of eye contact as rudeness or disinterest,Eye Contact+,+,Non-ASD,100,18,1,0.0,0.0,0,0,0,0,0,1,worry misunderstand toddler lack eye contact rudeness disinterest
i worry that rely solely on sign communication might limit my toddler be social interactions not everyone understand or accept sign language potentially lead to misunderstandings or isolation,Sharing Interest+,-,ASD,201,31,2,0.0166666666666666,0.5333333333333333,0,0,0,0,0,1,worry rely solely sign communication limit toddler social interactions understand accept sign language potentially lead misunderstandings isolation
i worry that rely solely on sign communication might limit my toddler be social interactions not everyone understand or accept sign language potentially lead to misunderstandings or isolation,Sign Communication+,-,ASD,201,31,2,0.0166666666666666,0.5333333333333333,0,0,0,0,0,1,worry rely solely sign communication limit toddler social interactions understand accept sign language potentially lead misunderstandings isolation
i be concern about how easily our toddler get distract in school they struggle to stay focus especially when there be a lot of noise or activity around it be affect their ability to keep up with the class,Attention Respanse+,-,ASD,216,44,5,0.2166666666666666,0.9166666666666669,0,0,0,0,0,3,concern easily toddler distract school struggle stay focus especially lot noise activity affect ability class
i be concern about how my toddler react to change sudden transition or unexpected alterations in routines can be extremely distress for them,Change Reaction-,-,ASD,148,25,2,-0.0083333333333333,0.8333333333333334,0,0,0,0,0,1,concern toddler react change sudden transition unexpected alterations routines extremely distress
i be concern about how my toddler react to sudden change sit often lead to heighten anxiety and distress make it tough for them to handle unforeseen situations,Change Reaction-,-,ASD,169,31,3,-0.1944444444444444,0.6666666666666667,0,0,0,0,0,1,concern toddler react sudden change sit lead heighten anxiety distress make tough handle unforeseen situations
i be concern about how my toddler be noise sensitivity might overwhelm them in certain environments loud noise scan trigger anxiety lead to distress or meltdowns,Noise Sensitivity-,-,ASD,167,29,2,0.1571428571428571,0.6857142857142857,0,0,0,0,0,2,concern toddler noise sensitivity overwhelm certain environments loud noise scan trigger anxiety lead distress meltdowns
i be concern about how my toddler be sensitivity to noise might overwhelm them loud or sudden noise can cause stress lead to anxiety or sensory overload,Noise Sensitivity-,-,ASD,159,30,2,0.05,0.65,0,0,0,0,0,2,concern toddler sensitivity noise overwhelm loud sudden noise cause stress lead anxiety sensory overload
i be concern about how repetitive behaviors might affect my toddler be social interactions peer might find it challenge to understand and engage with my toddler,Repetitive Behavior-,-,ASD,165,28,2,0.0944444444444444,0.4388888888888889,0,0,0,0,0,2,concern repetitive behaviors affect toddler social interactions peer challenge understand engage toddler
i be concern about my toddler become overly reliant on sign language potentially hinder their motivation to explore other communication methods,Sharing Interest+,-,ASD,151,23,1,0.1083333333333333,0.7416666666666667,0,0,0,0,0,1,concern toddler overly reliant sign language potentially hinder motivation explore communication methods
i be concern about my toddler become overly reliant on sign language potentially hinder their motivation to explore other communication methods,Sign Communication+,-,ASD,151,23,1,0.1083333333333333,0.7416666666666667,0,0,0,0,0,1,concern toddler overly reliant sign language potentially hinder motivation explore communication methods
i be concern about my toddler be difficulty in follow point gesture it might hinder their ability to understand and respond appropriately during communication,Follow Pointing+,-,ASD,167,26,2,0.25,0.3,0,0,0,0,0,2,concern toddler difficulty follow point gesture hinder ability understand respond appropriately communication
i be concern about my toddler be difficulty in follow point gesture it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,161,25,2,0.3,0.45,0,0,0,0,0,2,concern toddler difficulty follow point gesture hinder ability understand instructions communicate effectively
i be concern about my toddler be intense focus on specific interest it might lead to difficulties in shift attention or engage in other activities,Focused Attention+,+,Non-ASD,154,27,2,0.11875,0.55,0,0,0,0,0,2,concern toddler intense focus specific lead difficulties shift attention engage activities
i be concern about my toddler be intense focus on specific topics it might limit their willingness to explore other subject or activities lead to a lack of diversity in their experience,Focused Attention+,+,Non-ASD,193,35,3,0.025,0.5,0,0,0,0,0,2,concern toddler intense focus specific topics limit willingness explore subject activities lead lack diversity experience
i be concern about my toddler be intense focus on specific topics it might limit their willingness to explore other subject or activities potentially hinder their overall development,Focused Attention+,+,Non-ASD,189,31,3,0.015,0.5,0,0,0,0,0,2,concern toddler intense focus specific topics limit willingness explore subject activities potentially hinder overall development
i be concern about my toddler be response to sudden change sit often lead to heighten anxiety and stress make it challenge for them to handle unpredictable situations,Change Reaction-,-,ASD,176,31,3,0.1111111111111111,0.8333333333333334,0,0,0,0,0,2,concern toddler response sudden change sit lead heighten anxiety stress make challenge handle unpredictable situations
i be concern about my toddler be struggle in follow point gesture it might hinder their ability to understand instructions and communicate effectively,Follow Pointing+,-,ASD,159,25,2,0.3,0.45,0,0,0,0,0,2,concern toddler struggle follow point gesture hinder ability understand instructions communicate effectively
i be concern about my toddler be struggle to share their interest it might make it challenge for them to connect with peer who do not share similar passions,Sharing Interest+,-,ASD,161,31,2,0.25,0.7,0,0,0,0,0,3,concern toddler struggle share make challenge connect peer share similar passions
i be concern about my toddler be struggle with sudden change sit often lead to heighten anxiety make it challenge for them to cope with unexpected situations,Change Reaction-,-,ASD,167,30,3,0.1999999999999999,0.8333333333333334,0,0,0,0,0,2,concern toddler struggle sudden change sit lead heighten anxiety make challenge cope unexpected situations
i be concern about our toddler be repetitive behaviors it feel like they be stick in these pattern and it be hard for them to engage in different activities or adapt to change,Repetitive Behavior-,-,ASD,180,36,3,-0.1805555555555555,0.4638888888888888,0,0,0,0,0,4,concern toddler repetitive behaviors feel like stick pattern hard engage different activities adapt change
i be concern about our toddler be repetitive behaviors it be challenge because they seem to get stick in these pattern and it be affect their ability to engage in different activities,Repetitive Behavior-,-,ASD,190,35,3,0.0833333333333333,0.6166666666666667,0,0,0,0,0,4,concern toddler repetitive behaviors challenge stick pattern affect ability engage different activities
i be concern about our toddler be repetitive behaviors they keep do the same action over and over and it be interfere with their ability to engage in other activities i worry about how this might affect their social interactions,Repetitive Behavior-,-,ASD,237,44,4,-0.0854166666666666,0.2041666666666666,0,0,0,0,0,3,concern toddler repetitive behaviors action interfere ability engage activities worry affect social interactions
i be concern that my toddler be fixation on arrange toy limit their actual playtime it seem they be more focus on organize than engage in imaginative play,Toy Arranging-,-,ASD,167,30,2,0.375,0.4999999999999999,0,0,0,0,0,3,concern toddler fixation arrange toy limit actual playtime focus organize engage imaginative play
i be concern that their reliance on repeat word might isolate them socially peer might struggle to understand or engage with their communication style,Word Repetition-,-,ASD,157,26,2,0.0333333333333333,0.0666666666666666,0,0,0,0,0,1,concern reliance repeat word isolate socially peer struggle understand engage communication style
i be concern that their word repetition might lead to social isolation or be misunderstand by peer who might not understand their communication style,Word Repetition-,-,ASD,155,25,1,0.0333333333333333,0.0666666666666666,0,0,0,0,0,1,concern word repetition lead social isolation misunderstand peer understand communication style
i be concern that this repetition might interfere with their learn abilities especially in school it might affect their comprehension and engagement with different subject,Word Repetition-,-,ASD,179,28,3,0.0,0.8,0,0,0,0,0,1,concern repetition interfere learn abilities especially school affect comprehension engagement different subject
i be worry about how easily our toddler lose focus they struggle to pay attention especially in noisy environments it affect their learn at school and they often miss important detail,Attention Respanse+,-,ASD,195,36,5,0.1333333333333333,0.7333333333333334,0,0,0,0,0,1,worry easily toddler lose focus struggle pay attention especially noisy environments affect learn school miss important
i be worry about how sudden change affect my toddler it often lead to increase stress and anxiety make it hard for them to adapt,Change Reaction-,-,ASD,137,28,3,-0.1458333333333333,0.5208333333333333,0,0,0,0,0,1,worry sudden change affect toddler lead increase stress anxiety make hard adapt
i be worry about my toddler be constant word repetition it feel like they be not progress just stick in a loop i have read it might hinder their communication development what if they can not express themselves properly,Word Repetition-,-,ASD,224,44,5,0.0,0.2166666666666666,0,1,0,0,0,5,worry toddler constant word repetition feel like progress stick loop read hinder communication development express properly
